Population_No,Reproduction,Historical_Stress,Assay_stress,Replicate,Plate,Row,Column
Blank,Blank,Blank,Blank,1,1,A,1
Blank,Blank,Blank,Blank,2,1,B,1
Blank,Blank,Blank,Blank,3,1,C,1
Blank,Blank,Blank,Blank,4,1,D,1
Blank,Blank,Blank,Blank,5,1,E,1
Blank,Blank,Blank,Blank,6,1,F,1
Blank,Blank,Blank,Blank,7,1,G,1
Blank,Blank,Blank,Blank,8,1,H,1
Blank,Blank,Blank,Blank,9,1,A,2
1,None,None,None,1,1,B,2
1,None,None,None,2,1,C,2
1,None,None,None,3,1,D,2
2,None,None,None,1,1,E,2
2,None,None,None,2,1,F,2
2,None,None,None,3,1,G,2
Blank,Blank,Blank,Blank,10,1,H,2
Blank,Blank,Blank,Blank,11,1,A,3
1,None,None,NaCl,1,1,B,3
1,None,None,NaCl,2,1,C,3
1,None,None,NaCl,3,1,D,3
2,None,None,NaCl,1,1,E,3
2,None,None,NaCl,2,1,F,3
2,None,None,NaCl,3,1,G,3
Blank,Blank,Blank,Blank,12,1,H,3
Blank,Blank,Blank,Blank,13,1,A,4
3,None,None,None,1,1,B,4
3,None,None,None,2,1,C,4
3,None,None,None,3,1,D,4
4,None,None,None,1,1,E,4
4,None,None,None,2,1,F,4
4,None,None,None,3,1,G,4
Blank,Blank,Blank,Blank,14,1,H,4
Blank,Blank,Blank,Blank,15,1,A,5
3,None,None,NaCl,1,1,B,5
3,None,None,NaCl,2,1,C,5
3,None,None,NaCl,3,1,D,5
4,None,None,NaCl,1,1,E,5
4,None,None,NaCl,2,1,F,5
4,None,None,NaCl,3,1,G,5
Blank,Blank,Blank,Blank,16,1,H,5
Blank,Blank,Blank,Blank,17,1,A,6
5,None,None,None,1,1,B,6
5,None,None,None,2,1,C,6
5,None,None,None,3,1,D,6
6,None,None,None,1,1,E,6
6,None,None,None,2,1,F,6
6,None,None,None,3,1,G,6
Blank,Blank,Blank,Blank,18,1,H,6
Blank,Blank,Blank,Blank,19,1,A,7
5,None,None,NaCl,1,1,B,7
5,None,None,NaCl,2,1,C,7
5,None,None,NaCl,3,1,D,7
6,None,None,NaCl,1,1,E,7
6,None,None,NaCl,2,1,F,7
6,None,None,NaCl,3,1,G,7
Blank,Blank,Blank,Blank,20,1,H,7
Blank,Blank,Blank,Blank,21,1,A,8
7,Once,None,None,1,1,B,8
7,Once,None,None,2,1,C,8
7,Once,None,None,3,1,D,8
8,Once,None,None,1,1,E,8
8,Once,None,None,2,1,F,8
8,Once,None,None,3,1,G,8
Blank,Blank,Blank,Blank,22,1,H,8
Blank,Blank,Blank,Blank,23,1,A,9
7,Once,None,NaCl,1,1,B,9
7,Once,None,NaCl,2,1,C,9
7,Once,None,NaCl,3,1,D,9
8,Once,None,NaCl,1,1,E,9
8,Once,None,NaCl,2,1,F,9
8,Once,None,NaCl,3,1,G,9
Blank,Blank,Blank,Blank,24,1,H,9
Blank,Blank,Blank,Blank,25,1,A,10
9,Once,None,None,1,1,B,10
9,Once,None,None,2,1,C,10
9,Once,None,None,3,1,D,10
10,Once,None,None,1,1,E,10
10,Once,None,None,2,1,F,10
10,Once,None,None,3,1,G,10
Blank,Blank,Blank,Blank,26,1,H,10
Blank,Blank,Blank,Blank,27,1,A,11
9,Once,None,NaCl,1,1,B,11
9,Once,None,NaCl,2,1,C,11
9,Once,None,NaCl,3,1,D,11
10,Once,None,NaCl,1,1,E,11
10,Once,None,NaCl,2,1,F,11
10,Once,None,NaCl,3,1,G,11
Blank,Blank,Blank,Blank,28,1,H,11
Blank,Blank,Blank,Blank,29,1,A,12
Blank,Blank,Blank,Blank,30,1,B,12
Blank,Blank,Blank,Blank,31,1,C,12
Blank,Blank,Blank,Blank,32,1,D,12
Blank,Blank,Blank,Blank,33,1,E,12
Blank,Blank,Blank,Blank,34,1,F,12
Blank,Blank,Blank,Blank,35,1,G,12
Blank,Blank,Blank,Blank,36,1,H,12
Blank,Blank,Blank,Blank,1,2,A,1
Blank,Blank,Blank,Blank,2,2,B,1
Blank,Blank,Blank,Blank,3,2,C,1
Blank,Blank,Blank,Blank,4,2,D,1
Blank,Blank,Blank,Blank,5,2,E,1
Blank,Blank,Blank,Blank,6,2,F,1
Blank,Blank,Blank,Blank,7,2,G,1
Blank,Blank,Blank,Blank,8,2,H,1
Blank,Blank,Blank,Blank,9,2,A,2
11,Once,None,None,1,2,B,2
11,Once,None,None,2,2,C,2
11,Once,None,None,3,2,D,2
12,Once,None,None,1,2,E,2
12,Once,None,None,2,2,F,2
12,Once,None,None,3,2,G,2
Blank,Blank,Blank,Blank,10,2,H,2
Blank,Blank,Blank,Blank,11,2,A,3
11,Once,None,NaCl,1,2,B,3
11,Once,None,NaCl,2,2,C,3
11,Once,None,NaCl,3,2,D,3
