Plate ID	Barcode	Well ID	Read 1:650	Read 2:750	Reading Date/Time	Well
plate_01	01	SPL1	0.083	0.080	10/04/2022 22:03:32	A1
plate_01	01	SPL2	0.082	0.081	10/04/2022 22:03:32	B1
plate_01	01	SPL3	0.085	0.083	10/04/2022 22:03:32	C1
plate_01	01	SPL4	0.083	0.081	10/04/2022 22:03:32	D1
plate_01	01	SPL5	0.082	0.081	10/04/2022 22:03:32	E1
plate_01	01	SPL6	0.082	0.080	10/04/2022 22:03:32	F1
plate_01	01	SPL7	0.091	0.088	10/04/2022 22:03:32	G1
plate_01	01	SPL8	0.084	0.080	10/04/2022 22:03:32	H1
plate_01	01	SPL9	0.081	0.078	10/04/2022 22:03:32	A2
plate_01	01	SPL10	0.743	0.626	10/04/2022 22:03:32	B2
plate_01	01	SPL11	0.642	0.576	10/04/2022 22:03:32	C2
plate_01	01	SPL12	0.554	0.490	10/04/2022 22:03:32	D2
plate_01	01	SPL13	0.829	0.741	10/04/2022 22:03:32	E2
plate_01	01	SPL14	0.644	0.573	10/04/2022 22:03:32	F2
plate_01	01	SPL15	0.773	0.691	10/04/2022 22:03:32	G2
plate_01	01	SPL16	0.085	0.082	10/04/2022 22:03:32	H2
plate_01	01	SPL17	0.082	0.081	10/04/2022 22:03:32	A3
plate_01	01	SPL18	0.504	0.467	10/04/2022 22:03:32	B3
plate_01	01	SPL19	0.562	0.510	10/04/2022 22:03:32	C3
plate_01	01	SPL20	0.610	0.540	10/04/2022 22:03:32	D3
plate_01	01	SPL21	0.470	0.432	10/04/2022 22:03:32	E3
plate_01	01	SPL22	0.322	0.293	10/04/2022 22:03:32	F3
plate_01	01	SPL23	0.525	0.471	10/04/2022 22:03:32	G3
plate_01	01	SPL24	0.086	0.083	10/04/2022 22:03:32	H3
plate_01	01	SPL25	0.086	0.083	10/04/2022 22:03:32	A4
plate_01	01	SPL26	0.552	0.502	10/04/2022 22:03:32	B4
plate_01	01	SPL27	0.573	0.554	10/04/2022 22:03:32	C4
plate_01	01	SPL28	0.486	0.431	10/04/2022 22:03:32	D4
plate_01	01	SPL29	0.604	0.550	10/04/2022 22:03:32	E4
plate_01	01	SPL30	0.549	0.486	10/04/2022 22:03:32	F4
plate_01	01	SPL31	0.664	0.595	10/04/2022 22:03:32	G4
plate_01	01	SPL32	0.085	0.083	10/04/2022 22:03:32	H4
plate_01	01	SPL33	0.081	0.079	10/04/2022 22:03:32	A5
plate_01	01	SPL34	0.338	0.316	10/04/2022 22:03:32	B5
plate_01	01	SPL35	0.276	0.250	10/04/2022 22:03:32	C5
plate_01	01	SPL36	0.333	0.294	10/04/2022 22:03:32	D5
plate_01	01	SPL37	0.480	0.427	10/04/2022 22:03:32	E5
plate_01	01	SPL38	0.441	0.402	10/04/2022 22:03:32	F5
plate_01	01	SPL39	0.452	0.415	10/04/2022 22:03:32	G5
plate_01	01	SPL40	0.085	0.082	10/04/2022 22:03:32	H5
plate_01	01	SPL41	0.080	0.078	10/04/2022 22:03:32	A6
plate_01	01	SPL42	0.574	0.510	10/04/2022 22:03:32	B6
plate_01	01	SPL43	0.542	0.480	10/04/2022 22:03:32	C6
plate_01	01	SPL44	0.529	0.445	10/04/2022 22:03:32	D6
plate_01	01	SPL45	0.595	0.554	10/04/2022 22:03:32	E6
plate_01	01	SPL46	0.538	0.479	10/04/2022 22:03:32	F6
plate_01	01	SPL47	0.768	0.642	10/04/2022 22:03:32	G6
plate_01	01	SPL48	0.084	0.081	10/04/2022 22:03:32	H6
plate_01	01	SPL49	0.081	0.079	10/04/2022 22:03:32	A7
plate_01	01	SPL50	0.535	0.487	10/04/2022 22:03:32	B7
plate_01	01	SPL51	0.495	0.442	10/04/2022 22:03:32	C7
plate_01	01	SPL52	0.563	0.488	10/04/2022 22:03:32	D7
plate_01	01	SPL53	0.455	0.409	10/04/2022 22:03:32	E7
plate_01	01	SPL54	0.491	0.446	10/04/2022 22:03:32	F7
plate_01	01	SPL55	0.541	0.494	10/04/2022 22:03:32	G7
plate_01	01	SPL56	0.092	0.089	10/04/2022 22:03:32	H7
plate_01	01	SPL57	0.084	0.081	10/04/2022 22:03:32	A8
plate_01	01	SPL58	0.626	0.565	10/04/2022 22:03:32	B8
plate_01	01	SPL59	0.591	0.523	10/04/2022 22:03:32	C8
plate_01	01	SPL60	0.548	0.482	10/04/2022 22:03:32	D8
plate_01	01	SPL61	0.659	0.577	10/04/2022 22:03:32	E8
plate_01	01	SPL62	0.685	0.605	10/04/2022 22:03:32	F8
plate_01	01	SPL63	0.811	0.721	10/04/2022 22:03:32	G8
plate_01	01	SPL64	0.084	0.081	10/04/2022 22:03:32	H8
plate_01	01	SPL65	0.082	0.080	10/04/2022 22:03:32	A9
plate_01	01	SPL66	0.535	0.487	10/04/2022 22:03:32	B9
plate_01	01	SPL67	0.514	0.460	10/04/2022 22:03:32	C9
plate_01	01	SPL68	0.527	0.464	10/04/2022 22:03:32	D9
plate_01	01	SPL69	0.643	0.569	10/04/2022 22:03:32	E9
plate_01	01	SPL70	0.529	0.474	10/04/2022 22:03:32	F9
plate_01	01	SPL71	0.489	0.441	10/04/2022 22:03:32	G9
plate_01	01	SPL72	0.084	0.081	10/04/2022 22:03:32	H9
plate_01	01	SPL73	0.083	0.081	10/04/2022 22:03:32	A10
plate_01	01	SPL74	0.760	0.694	10/04/2022 22:03:32	B10
plate_01	01	SPL75	0.516	0.468	10/04/2022 22:03:32	C10
plate_01	01	SPL76	0.545	0.498	10/04/2022 22:03:32	D10
plate_01	01	SPL77	0.457	0.416	10/04/2022 22:03:32	E10
plate_01	01	SPL78	0.470	0.429	10/04/2022 22:03:32	F10
plate_01	01	SPL79	0.769	0.690	10/04/2022 22:03:32	G10
plate_01	01	SPL80	0.084	0.081	10/04/2022 22:03:32	H10
plate_01	01	SPL81	0.083	0.080	10/04/2022 22:03:32	A11
plate_01	01	SPL82	0.486	0.451	10/04/2022 22:03:32	B11
plate_01	01	SPL83	0.492	0.454	10/04/2022 22:03:32	C11
plate_01	01	SPL84	0.511	0.468	10/04/2022 22:03:32	D11
plate_01	01	SPL85	0.593	0.548	10/04/2022 22:03:32	E11
plate_01	01	SPL86	0.501	0.465	10/04/2022 22:03:32	F11
plate_01	01	SPL87	0.465	0.415	10/04/2022 22:03:32	G11
plate_01	01	SPL88	0.082	0.079	10/04/2022 22:03:32	H11
plate_01	01	SPL89	0.095	0.092	10/04/2022 22:03:32	A12
plate_01	01	SPL90	0.083	0.080	10/04/2022 22:03:32	B12
plate_01	01	SPL91	0.083	0.081	10/04/2022 22:03:32	C12
plate_01	01	SPL92	0.084	0.082	10/04/2022 22:03:32	D12
plate_01	01	SPL93	0.082	0.079	10/04/2022 22:03:32	E12
plate_01	01	SPL94	0.083	0.080	10/04/2022 22:03:32	F12
plate_01	01	SPL95	0.079	0.076	10/04/2022 22:03:32	G12
plate_01	01	SPL96	0.095	0.088	10/04/2022 22:03:32	H12

Plate ID	Barcode	Well ID	Read 1:650	Read 2:750	Reading Date/Time	Well
plate_02	02	SPL1	0.085	0.082	10/04/2022 22:05:04	A1
plate_02	02	SPL2	0.082	0.079	10/04/2022 22:05:04	B1
plate_02	02	SPL3	0.082	0.080	10/04/2022 22:05:04	C1
plate_02	02	SPL4	0.080	0.078	10/04/2022 22:05:04	D1
plate_02	02	SPL5	0.080	0.078	10/04/2022 22:05:04	E1
plate_02	02	SPL6	0.081	0.079	10/04/2022 22:05:04	F1
plate_02	02	SPL7	0.085	0.081	10/04/2022 22:05:04	G1
plate_02	02	SPL8	0.083	0.079	10/04/2022 22:05:04	H1
plate_02	02	SPL9	0.085	0.082	10/04/2022 22:05:04	A2
plate_02	02	SPL10	0.703	0.635	10/04/2022 22:05:04	B2
plate_02	02	SPL11	0.688	0.633	10/04/2022 22:05:04	C2
plate_02	02	SPL12	0.719	0.623	10/04/2022 22:05:04	D2
plate_02	02	SPL13	0.666	0.615	10/04/2022 22:05:04	E2
plate_02	02	SPL14	0.641	0.574	10/04/2022 22:05:04	F2
plate_02	02	SPL15	0.779	0.706	10/04/2022 22:05:04	G2
plate_02	02	SPL16	0.074	0.071	10/04/2022 22:05:04	H2
plate_02	02	SPL17	0.083	0.081	10/04/2022 22:05:04	A3
plate_02	02	SPL18	0.472	0.442	10/04/2022 22:05:04	B3
plate_02	02	SPL19	0.196	0.189	10/04/2022 22:05:04	C3
plate_02	02	SPL20	0.519	0.465	10/04/2022 22:05:04	D3
plate_02	02	SPL21	0.459	0.421	10/04/2022 22:05:04	E3
plate_02	02	SPL22	0.476	0.437	10/04/2022 22:05:04	F3
plate_02	02	SPL23	0.478	0.437	10/04/2022 22:05:04	G3
plate_02	02	SPL24	0.083	0.080	10/04/2022 22:05:04	H3
plate_02	02	SPL25	0.083	0.081	10/04/2022 22:05:04	A4
plate_02	02	SPL26	0.642	0.570	10/04/2022 22:05:04	B4
plate_02	02	SPL27	0.541	0.492	10/04/2022 22:05:04	C4
plate_02	02	SPL28	0.497	0.454	10/04/2022 22:05:04	D4
plate_02	02	SPL29	0.558	0.457	10/04/2022 22:05:04	E4
plate_02	02	SPL30	0.531	0.476	10/04/2022 22:05:04	F4
plate_02	02	SPL31	0.611	0.551	10/04/2022 22:05:04	G4
plate_02	02	SPL32	0.084	0.082	10/04/2022 22:05:04	H4
plate_02	02	SPL33	0.081	0.079	10/04/2022 22:05:04	A5
plate_02	02	SPL34	0.625	0.557	10/04/2022 22:05:04	B5
plate_02	02	SPL35	0.478	0.428	10/04/2022 22:05:04	C5
plate_02	02	SPL36	0.564	0.503	10/04/2022 22:05:04	D5
plate_02	02	SPL37	0.520	0.466	10/04/2022 22:05:04	E5
plate_02	02	SPL38	0.528	0.475	10/04/2022 22:05:04	F5
plate_02	02	SPL39	0.555	0.509	10/04/2022 22:05:04	G5
plate_02	02	SPL40	0.083	0.081	10/04/2022 22:05:04	H5
plate_02	02	SPL41	0.081	0.079	10/04/2022 22:05:04	A6
plate_02	02	SPL42	0.523	0.447	10/04/2022 22:05:04	B6
plate_02	02	SPL43	0.599	0.543	10/04/2022 22:05:04	C6
plate_02	02	SPL44	0.844	0.721	10/04/2022 22:05:04	D6
plate_02	02	SPL45	0.614	0.562	10/04/2022 22:05:04	E6
plate_02	02	SPL46	0.607	0.558	10/04/2022 22:05:04	F6
plate_02	02	SPL47	0.471	0.427	10/04/2022 22:05:04	G6
plate_02	02	SPL48	0.085	0.082	10/04/2022 22:05:04	H6
plate_02	02	SPL49	0.080	0.077	10/04/2022 22:05:04	A7
plate_02	02	SPL50	0.388	0.359	10/04/2022 22:05:04	B7
plate_02	02	SPL51	0.274	0.252	10/04/2022 22:05:04	C7
plate_02	02	SPL52	0.289	0.263	10/04/2022 22:05:04	D7
plate_02	02	SPL53	0.343	0.310	10/04/2022 22:05:04	E7
plate_02	02	SPL54	0.411	0.371	10/04/2022 22:05:04	F7
plate_02	02	SPL55	0.486	0.443	10/04/2022 22:05:04	G7
plate_02	02	SPL56	0.084	0.081	10/04/2022 22:05:04	H7
plate_02	02	SPL57	0.081	0.079	10/04/2022 22:05:04	A8
plate_02	02	SPL58	0.588	0.537	10/04/2022 22:05:04	B8
plate_02	02	SPL59	0.482	0.419	10/04/2022 22:05:04	C8
plate_02	02	SPL60	0.441	0.390	10/04/2022 22:05:04	D8
plate_02	02	SPL61	0.495	0.436	10/04/2022 22:05:04	E8
plate_02	02	SPL62	0.460	0.429	10/04/2022 22:05:04	F8
plate_02	02	SPL63	0.540	0.492	10/04/2022 22:05:04	G8
plate_02	02	SPL64	0.084	0.082	10/04/2022 22:05:04	H8
plate_02	02	SPL65	0.080	0.078	10/04/2022 22:05:04	A9
plate_02	02	SPL66	0.492	0.448	10/04/2022 22:05:04	B9
plate_02	02	SPL67	0.402	0.361	10/04/2022 22:05:04	C9
plate_02	02	SPL68	0.225	0.208	10/04/2022 22:05:04	D9
plate_02	02	SPL69	0.440	0.399	10/04/2022 22:05:04	E9
plate_02	02	SPL70	0.422	0.380	10/04/2022 22:05:04	F9
plate_02	02	SPL71	0.629	0.585	10/04/2022 22:05:04	G9
plate_02	02	SPL72	0.084	0.082	10/04/2022 22:05:04	H9
plate_02	02	SPL73	0.084	0.082	10/04/2022 22:05:04	A10
plate_02	02	SPL74	0.773	0.701	10/04/2022 22:05:04	B10
plate_02	02	SPL75	0.732	0.658	10/04/2022 22:05:04	C10
plate_02	02	SPL76	0.645	0.577	10/04/2022 22:05:04	D10
plate_02	02	SPL77	0.688	0.614	10/04/2022 22:05:04	E10
plate_02	02	SPL78	0.633	0.563	10/04/2022 22:05:04	F10
plate_02	02	SPL79	0.610	0.557	10/04/2022 22:05:04	G10
plate_02	02	SPL80	0.085	0.083	10/04/2022 22:05:04	H10
plate_02	02	SPL81	0.081	0.079	10/04/2022 22:05:04	A11
plate_02	02	SPL82	0.623	0.577	10/04/2022 22:05:04	B11
plate_02	02	SPL83	0.490	0.447	10/04/2022 22:05:04	C11
plate_02	02	SPL84	0.503	0.453	10/04/2022 22:05:04	D11
plate_02	02	SPL85	0.559	0.506	10/04/2022 22:05:04	E11
plate_02	02	SPL86	0.636	0.587	10/04/2022 22:05:04	F11
plate_02	02	SPL87	0.496	0.459	10/04/2022 22:05:04	G11
plate_02	02	SPL88	0.082	0.079	10/04/2022 22:05:04	H11
plate_02	02	SPL89	0.082	0.078	10/04/2022 22:05:04	A12
plate_02	02	SPL90	0.083	0.081	10/04/2022 22:05:04	B12
plate_02	02	SPL91	0.081	0.080	10/04/2022 22:05:04	C12
plate_02	02	SPL92	0.081	0.079	10/04/2022 22:05:04	D12
plate_02	02	SPL93	0.079	0.078	10/04/2022 22:05:04	E12
plate_02	02	SPL94	0.082	0.080	10/04/2022 22:05:04	F12
plate_02	02	SPL95	0.085	0.082	10/04/2022 22:05:04	G12
plate_02	02	SPL96	0.074	0.071	10/04/2022 22:05:04	H12

Plate ID	Barcode	Well ID	Read 1:650	Read 2:750	Reading Date/Time	Well
plate_03	03	SPL1	0.083	0.080	10/04/2022 22:06:10	A1
plate_03	03	SPL2	0.081	0.079	10/04/2022 22:06:10	B1
plate_03	03	SPL3	0.081	0.080	10/04/2022 22:06:10	C1
plate_03	03	SPL4	0.084	0.083	10/04/2022 22:06:10	D1
plate_03	03	SPL5	0.083	0.081	10/04/2022 22:06:10	E1
plate_03	03	SPL6	0.084	0.082	10/04/2022 22:06:10	F1
plate_03	03	SPL7	0.084	0.081	10/04/2022 22:06:10	G1
plate_03	03	SPL8	0.079	0.076	10/04/2022 22:06:10	H1
plate_03	03	SPL9	0.080	0.078	10/04/2022 22:06:10	A2
plate_03	03	SPL10	0.578	0.518	10/04/2022 22:06:10	B2
plate_03	03	SPL11	0.593	0.522	10/04/2022 22:06:10	C2
plate_03	03	SPL12	0.533	0.476	10/04/2022 22:06:10	D2
plate_03	03	SPL13	0.575	0.514	10/04/2022 22:06:10	E2
plate_03	03	SPL14	0.615	0.552	10/04/2022 22:06:10	F2
plate_03	03	SPL15	0.746	0.647	10/04/2022 22:06:10	G2
plate_03	03	SPL16	0.095	0.091	10/04/2022 22:06:10	H2
plate_03	03	SPL17	0.080	0.078	10/04/2022 22:06:10	A3
plate_03	03	SPL18	0.228	0.216	10/04/2022 22:06:10	B3
plate_03	03	SPL19	0.196	0.180	10/04/2022 22:06:10	C3
plate_03	03	SPL20	0.239	0.220	10/04/2022 22:06:10	D3
plate_03	03	SPL21	0.480	0.438	10/04/2022 22:06:10	E3
plate_03	03	SPL22	0.501	0.459	10/04/2022 22:06:10	F3
plate_03	03	SPL23	0.523	0.488	10/04/2022 22:06:10	G3
plate_03	03	SPL24	0.080	0.077	10/04/2022 22:06:10	H3
plate_03	03	SPL25	0.083	0.081	10/04/2022 22:06:10	A4
plate_03	03	SPL26	0.572	0.518	10/04/2022 22:06:10	B4
plate_03	03	SPL27	0.553	0.498	10/04/2022 22:06:10	C4
plate_03	03	SPL28	0.641	0.530	10/04/2022 22:06:10	D4
plate_03	03	SPL29	0.679	0.613	10/04/2022 22:06:10	E4
plate_03	03	SPL30	0.592	0.587	10/04/2022 22:06:10	F4
plate_03	03	SPL31	0.688	0.608	10/04/2022 22:06:10	G4
plate_03	03	SPL32	0.076	0.072	10/04/2022 22:06:10	H4
plate_03	03	SPL33	0.081	0.079	10/04/2022 22:06:10	A5
plate_03	03	SPL34	0.494	0.452	10/04/2022 22:06:10	B5
plate_03	03	SPL35	0.492	0.446	10/04/2022 22:06:10	C5
plate_03	03	SPL36	0.517	0.464	10/04/2022 22:06:10	D5
plate_03	03	SPL37	0.597	0.538	10/04/2022 22:06:10	E5
plate_03	03	SPL38	0.603	0.544	10/04/2022 22:06:10	F5
plate_03	03	SPL39	0.671	0.615	10/04/2022 22:06:10	G5
plate_03	03	SPL40	0.084	0.081	10/04/2022 22:06:10	H5
plate_03	03	SPL41	0.082	0.080	10/04/2022 22:06:10	A6
plate_03	03	SPL42	0.410	0.374	10/04/2022 22:06:10	B6
plate_03	03	SPL43	0.504	0.442	10/04/2022 22:06:10	C6
plate_03	03	SPL44	0.373	0.330	10/04/2022 22:06:10	D6
plate_03	03	SPL45	0.428	0.379	10/04/2022 22:06:10	E6
plate_03	03	SPL46	0.598	0.523	10/04/2022 22:06:10	F6
plate_03	03	SPL47	0.548	0.495	10/04/2022 22:06:10	G6
plate_03	03	SPL48	0.079	0.076	10/04/2022 22:06:10	H6
plate_03	03	SPL49	0.081	0.079	10/04/2022 22:06:10	A7
plate_03	03	SPL50	0.641	0.553	10/04/2022 22:06:10	B7
plate_03	03	SPL51	0.602	0.517	10/04/2022 22:06:10	C7
plate_03	03	SPL52	0.628	0.534	10/04/2022 22:06:10	D7
plate_03	03	SPL53	0.609	0.513	10/04/2022 22:06:10	E7
plate_03	03	SPL54	0.655	0.566	10/04/2022 22:06:10	F7
plate_03	03	SPL55	0.753	0.659	10/04/2022 22:06:10	G7
plate_03	03	SPL56	0.083	0.080	10/04/2022 22:06:10	H7
plate_03	03	SPL57	0.081	0.078	10/04/2022 22:06:10	A8
plate_03	03	SPL58	0.483	0.435	10/04/2022 22:06:10	B8
plate_03	03	SPL59	0.472	0.417	10/04/2022 22:06:10	C8
plate_03	03	SPL60	0.401	0.358	10/04/2022 22:06:10	D8
plate_03	03	SPL61	0.452	0.420	10/04/2022 22:06:10	E8
plate_03	03	SPL62	0.449	0.410	10/04/2022 22:06:10	F8
plate_03	03	SPL63	0.546	0.493	10/04/2022 22:06:10	G8
plate_03	03	SPL64	0.083	0.080	10/04/2022 22:06:10	H8
plate_03	03	SPL65	0.083	0.081	10/04/2022 22:06:10	A9
plate_03	03	SPL66	0.668	0.580	10/04/2022 22:06:10	B9
plate_03	03	SPL67	0.647	0.565	10/04/2022 22:06:10	C9
plate_03	03	SPL68	0.623	0.538	10/04/2022 22:06:10	D9
plate_03	03	SPL69	0.605	0.528	10/04/2022 22:06:10	E9
plate_03	03	SPL70	0.700	0.609	10/04/2022 22:06:10	F9
plate_03	03	SPL71	0.731	0.651	10/04/2022 22:06:10	G9
plate_03	03	SPL72	0.083	0.081	10/04/2022 22:06:10	H9
plate_03	03	SPL73	0.083	0.080	10/04/2022 22:06:10	A10
plate_03	03	SPL74	0.562	0.509	10/04/2022 22:06:10	B10
plate_03	03	SPL75	0.633	0.565	10/04/2022 22:06:10	C10
plate_03	03	SPL76	0.567	0.511	10/04/2022 22:06:10	D10
plate_03	03	SPL77	0.581	0.517	10/04/2022 22:06:10	E10
plate_03	03	SPL78	0.604	0.543	10/04/2022 22:06:10	F10
plate_03	03	SPL79	0.578	0.525	10/04/2022 22:06:10	G10
plate_03	03	SPL80	0.083	0.081	10/04/2022 22:06:10	H10
plate_03	03	SPL81	0.081	0.078	10/04/2022 22:06:10	A11
plate_03	03	SPL82	0.614	0.546	10/04/2022 22:06:10	B11
plate_03	03	SPL83	0.648	0.574	10/04/2022 22:06:10	C11
plate_03	03	SPL84	0.596	0.523	10/04/2022 22:06:10	D11
plate_03	03	SPL85	0.590	0.537	10/04/2022 22:06:10	E11
plate_03	03	SPL86	0.603	0.552	10/04/2022 22:06:10	F11
plate_03	03	SPL87	0.466	0.421	10/04/2022 22:06:10	G11
plate_03	03	SPL88	0.083	0.080	10/04/2022 22:06:10	H11
plate_03	03	SPL89	0.123	0.119	10/04/2022 22:06:10	A12
plate_03	03	SPL90	0.083	0.080	10/04/2022 22:06:10	B12
plate_03	03	SPL91	0.081	0.079	10/04/2022 22:06:10	C12
plate_03	03	SPL92	0.082	0.079	10/04/2022 22:06:10	D12
plate_03	03	SPL93	0.081	0.078	10/04/2022 22:06:10	E12
